               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.037352,            0.011328,            0.013688,             0.14848,                   0,             0.39716,             0.18872,             0.20925,            0.054652,             0.05002,            0.011213,            0.016635,             0.16516,                   0,             0.00679,             0.00679,             0.00679
                 109,            0.037762,            0.011386,            0.013632,             0.13726,                   0,             0.41164,             0.32339,             0.25253,            0.075196,            0.052066,            0.011238,            0.016855,             0.17407,                   0,             0.00676,             0.00676,             0.00676
                 110,             0.03593,             0.01145,            0.013583,             0.13889,                   0,             0.16045,             0.29416,              0.2921,            0.085747,            0.052074,            0.011066,             0.01662,             0.17297,                   0,             0.00673,             0.00673,             0.00673
                 111,            0.037225,            0.011305,             0.01363,             0.14205,                   0,             0.45026,             0.18619,             0.22411,            0.058915,            0.051952,            0.011158,            0.016882,              0.1748,                   0,              0.0067,              0.0067,              0.0067
                 112,            0.037537,            0.011365,            0.013573,             0.12818,                   0,             0.44236,              0.2107,             0.25779,            0.072255,            0.051724,            0.011122,            0.016803,             0.16711,                   0,             0.00667,             0.00667,             0.00667
                 113,            0.036437,            0.011319,            0.013703,             0.14503,                   0,             0.41867,             0.29703,             0.27181,            0.084042,            0.051666,            0.010995,            0.016617,             0.15881,                   0,             0.00664,             0.00664,             0.00664
                 114,            0.035753,            0.011241,              0.0137,             0.12755,                   0,             0.42885,             0.25575,             0.25721,            0.073972,            0.051925,            0.011077,            0.016678,             0.16162,                   0,             0.00661,             0.00661,             0.00661
                 115,            0.035617,            0.011199,            0.013565,             0.13031,                   0,             0.38662,             0.22538,             0.19718,            0.061159,            0.052894,            0.011063,            0.016891,             0.15271,                   0,             0.00658,             0.00658,             0.00658
                 116,            0.035346,            0.011095,            0.013452,             0.12074,                   0,             0.42165,             0.26175,             0.25964,            0.075774,            0.053632,            0.011058,            0.016617,             0.16199,                   0,             0.00655,             0.00655,             0.00655
                 117,            0.035852,            0.011124,            0.013521,             0.12366,                   0,             0.35619,             0.18537,             0.22623,            0.065571,            0.054424,            0.011103,            0.016446,             0.15894,                   0,             0.00652,             0.00652,             0.00652
                 118,            0.035044,            0.011047,            0.013516,             0.12084,                   0,             0.18542,             0.15868,             0.23039,             0.06889,            0.055133,            0.010942,            0.016806,             0.17444,                   0,             0.00649,             0.00649,             0.00649
                 119,            0.035659,            0.010955,            0.013378,             0.12815,                   0,             0.28262,             0.25656,             0.23439,            0.068996,             0.05204,            0.011058,            0.016541,             0.17444,                   0,             0.00646,             0.00646,             0.00646
                 120,            0.035749,            0.011101,            0.013534,             0.11346,                   0,             0.29912,             0.21518,             0.23451,            0.068672,            0.053367,            0.011064,            0.016815,             0.16431,                   0,             0.00643,             0.00643,             0.00643
